id,section,title,pdf_link,media_image_link,filename,scraped_at
92f84d8a817f0bbcf80e9ac231c643ea1f439c70,press_release,"NBSL Press release - BHIM Goes Live with UPI Circle Full Delegation, Enabling Authorised UPI Payments within set limits",https://www.npci.org.in/uploads/NBSL_Press_Release_BHIM_goes_live_with_UPI_Circle_Full_Delegation_a95f4b40b5.pdf,,NBSL_Press_Release_BHIM_goes_live_with_UPI_Circle_Full_Delegation_a95f4b40b5.pdf,2025-12-16T12:31:47.131556
fc90ef4eaa7e97c7201261d321dc8683cbc351a6,press_release,NPCI Press Release - Media Statement - Update Regarding Cheque Truncation System (CTS) – Continuous Clearing,https://www.npci.org.in/uploads/NPCI_Press_Release_Media_Statement_Update_Regarding_CTS_Continuous_Clearing_4d225fdeeb.pdf,,NPCI_Press_Release_Media_Statement_Update_Regarding_CTS_Continuous_Clearing_4d225fdeeb.pdf,2025-12-16T12:31:47.215321
4a49b9e277b1a44b72149a06df39a8d522060397,press_release,"NPCI Press Release - RuPay JCB cardholders can now avail 25% cashback for in-store purchases* in Indonesia, Malaysia, Singapore, Japan and Philippines",https://www.npci.org.in/uploads/NPCI_Press_Release_Ru_Pay_JCB_cardholders_can_now_avail_25_cashback_for_in_store_purchases_54cda18d9d.pdf,,NPCI_Press_Release_Ru_Pay_JCB_cardholders_can_now_avail_25_cashback_for_in_store_purchases_54cda18d9d.pdf,2025-12-16T12:31:47.289979
5eb7f3e960b56072c874fa9e3b3639d6bb6884be,press_release,NPCI Press Release - Media Statement Regarding Cheque Clearance,https://www.npci.org.in/uploads/Media_Statement_Regarding_Cheque_Clearance_8d6a0245de.pdf,,Media_Statement_Regarding_Cheque_Clearance_8d6a0245de.pdf,2025-12-16T12:31:47.384902
9f8bc446d2a1d2acf6c1b8cf15834ee084c9d464,press_release,NPCI Press Release - RBI Governor unveils New Generation of Digital Payment Initiatives at GFF 2025,https://www.npci.org.in/uploads/RBI_Governor_unveils_New_Generation_of_Digital_Payment_Initiatives_at_GFF_6494fabdfc.pdf,,RBI_Governor_unveils_New_Generation_of_Digital_Payment_Initiatives_at_GFF_6494fabdfc.pdf,2025-12-16T12:31:47.453267
70b89ee8f06febbe3a1f8367098434cfb10fa834,press_release,NPCI Press Release - RBI Deputy Governor Launches New Digital Payment Innovations at GFF 2025,https://www.npci.org.in/uploads/RBI_Deputy_Governor_Launches_New_Digital_Payment_Innovations_at_GFF_2025_b16c9cb4b1.pdf,,RBI_Deputy_Governor_Launches_New_Digital_Payment_Innovations_at_GFF_2025_b16c9cb4b1.pdf,2025-12-16T12:31:47.507544
dec8340cb48039ffe67edc63a2525ebc334b0733,press_release,NPCI Press Release - DFS Secretary Launches Initiatives to Simplify Digital Payment Experience at GFF 2025,https://www.npci.org.in/uploads/DFS_Secretary_Launches_Initiatives_to_Simplify_Digital_Payment_Experience_at_GFF_2025_e28fd42a4f.pdf,,DFS_Secretary_Launches_Initiatives_to_Simplify_Digital_Payment_Experience_at_GFF_2025_e28fd42a4f.pdf,2025-12-16T12:31:47.623591
721a61d020a3de35b4d730fda38d9eede3848051,press_release,NPCI Press release – NPCI and RBL Bank expand RuPay On-The-Go across All Bengaluru Metro Lines,https://www.npci.org.in/uploads/NPCI_Press_release_NPCI_and_RBL_Bank_expand_Ru_Pay_On_The_Go_across_All_Bengaluru_Metro_Lines_86a90a9ce5.pdf,,NPCI_Press_release_NPCI_and_RBL_Bank_expand_Ru_Pay_On_The_Go_across_All_Bengaluru_Metro_Lines_86a90a9ce5.pdf,2025-12-16T12:31:47.691750
d85675c439a5f0a46d77eea30ff08d80631a556d,press_release,"NBSL Press release - BHIM, Bharat Ka Apna Payments App, Lights Up Diwali with a Touch Of Goodness, Empowering India’s Women Artisans",https://www.npci.org.in/uploads/NBSL_Press_release_BHIM_Bharat_Ka_Apna_Payments_App_Lights_Up_Diwali_with_a_Touch_Of_Goodness_Empowering_Indias_Women_Artisans_910694a9c9.pdf,,NBSL_Press_release_BHIM_Bharat_Ka_Apna_Payments_App_Lights_Up_Diwali_with_a_Touch_Of_Goodness_Empowering_Indias_Women_Artisans_910694a9c9.pdf,2025-12-16T12:31:47.758844
78bfe33819f8e2d09387819752cc9ad740ed33cc,press_release,"NBSL Press release - BHIM Payments App, Bharat Ka Apna Payments App Collaborates with Sony Entertainment Television to launch an exclusive ‘Golden Week’ in Kaun Banega Crorepati",https://www.npci.org.in/uploads/NBSL_Press_Release_BHIM_KBC_f18709af18.pdf,,NBSL_Press_Release_BHIM_KBC_f18709af18.pdf,2025-12-16T12:31:47.823540
