id,title,publish_date,pdf_url,pdf_filename
1,Empanelment of Indian Telecommunications Service  Group A Batch 1999 Exam year 1998 for the posts of Joint Secretary equivalent at the Centre.,12/11/2025,https://dot.gov.in/sites/default/files/OM_JS%20Empanelment_1999%20Batch%20for%20Representation%20if%20any.pdf?download=1,OM_JS_Empanelment_1999_Batch_for_Representation_if_any.pdf
2,Empanelment of ITS 1999 Batch for the posts of Joint Secretary equivalent at the Centre regarding,12/11/2025,https://dot.gov.in/sites/default/files/OM_JS%20Empanelment_1999%20Batch_2.pdf?download=1,OM_JS_Empanelment_1999_Batch_2.pdf
3,Refusal of Promotion in SAG of ITS Group A by Shri Jasvir Singh Panesar,12/11/2025,https://dot.gov.in/sites/default/files/Refusal%20Jasvir%20Singh%20Panesar.pdf?download=1,Refusal_Jasvir_Singh_Panesar.pdf
4,Refusal of Promotion in SAG of ITS Group A by Shri Brajesh Kumar,12/11/2025,https://dot.gov.in/sites/default/files/Refusal%20Brajesh%20Kumar.pdf?download=1,Refusal_Brajesh_Kumar.pdf
5,"Notice Inviting Tender for old Newspaper/Magazines/waste Paper, Carton Empty Box, empty plastic water bottles, and other plastic wastes in DoT - HQ",12/10/2025,https://dot.gov.in/sites/default/files/Tender%20Documents%20for%20old%20%20News%20papers.pdf?download=1,Tender_Documents_for_old_News_papers.pdf
6,Submission of Annual Immovable Property Return by the officers of ITS Group A and TES Group B for the year ending 2025 through the SPARROW portal-reg.,12/10/2025,https://dot.gov.in/sites/default/files/OM%20on%20Annual%20IPR%20for%20the%20year%20ending%202025.pdf?download=1,OM_on_Annual_IPR_for_the_year_ending_2025.pdf
7,Gazette Notification of the Telecom e-Services Portal including the CBuD Mobile App as the portal,12/09/2025,https://dot.gov.in/sites/default/files/DoT%20e-services%20CBuD%20Notification.pdf?download=1,DoT_e-services_CBuD_Notification.pdf
8,"Grant of Scholarship, Hostel subsidy, Transport Charges and lump sum grant to differently abled wards of the employees of DoT for the Academic year 2024-25",12/05/2025,https://dot.gov.in/sites/default/files/Grant%20of%20Scholarship%20to%20differently%20abled%20wards.pdf?download=1,Grant_of_Scholarship_to_differently_abled_wards.pdf
9,Grant of Incentive to meritorious wards of DoT employees for the Academic year 2024-25,12/05/2025,https://dot.gov.in/sites/default/files/Incentive%20Circular%202024-25%20Updated.pdf?download=1,Incentive_Circular_2024-25_Updated.pdf
10,Grant of Scholarship to the meritorious wards of DoT employees for the Academic year 2024-25,12/05/2025,https://dot.gov.in/sites/default/files/Scholarship-Revised-24-25.pdf?download=1,Scholarship-Revised-24-25.pdf
11,Grant of Book Award to meritorious school going children of the employees of DoT for the Academic Year 2024-2025,12/04/2025,https://dot.gov.in/sites/default/files/BOOK%20AWARD%20Circular%202024-25%20Updated.pdf?download=1,BOOK_AWARD_Circular_2024-25_Updated.pdf
12,Local officiating arrangement to the grade of STS of ITS Gr A,12/04/2025,https://dot.gov.in/sites/default/files/Local%20officiating.pdf?download=1,Local_officiating.pdf
13,Termination of officiating i.r.o. Shri Saurav Kumar Singh,12/04/2025,https://dot.gov.in/sites/default/files/document-122.pdf?download=1,document-122.pdf
14,Webinar on Blockchain Technology and Its Applications,12/03/2025,https://dot.gov.in/sites/default/files/Blockchain%20Technology%20and%20its%20Applications%20%281%29.pdf?download=1,Blockchain_Technology_and_its_Applications_1.pdf
15,Webinar on Advancements in Optical Fibre Technologies,12/03/2025,https://dot.gov.in/sites/default/files/Webinar%20Brochure.pdf?download=1,Webinar_Brochure.pdf
